Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1_Performance_Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","Phenix City","AL","36867","RUSSELL","0.855911","Not Available","Not Available","Not Available","0.876965","Not Available","Not Available","Not Available","0.887535","Not Available","Not Available","Not Available","0.451388","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"010169","ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE","Atmore","AL","36502","ESCAMBIA","0.858269","Not Available","Not Available","Not Available","0.897165","8 out of 10","8 out of 9","8 out of 10","0.905693","10 out of 10","Not Available","10 out of 10","0.609514","1 out of 10","2 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","Anchorage","AK","99508","ANCHORAGE","0.859700","8 out of 10","6 out of 9","8 out of 10","0.874924","0 out of 10","3 out of 9","3 out of 10","0.908757","10 out of 10","9 out of 9","10 out of 10","0.746797","0 out of 10","0 out of 9","0 out of 10","0.407","1 out of 10","0 out of 9","1 out of 10"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","Palmer","AK","99645","MATANUSKA-SUSITNA","0.855617","Not Available","Not Available","Not Available","0.851104","0 out of 10","0 out of 9","0 out of 10","0.878297","0 out of 10","0 out of 9","0 out of 10","0.865627","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","Juneau","AK","99801","JUNEAU","0.856855","Not Available","Not Available","Not Available","0.883052","Not Available","Not Available","Not Available","0.877602","Not Available","Not Available","Not Available","0.456319","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","Fairbanks","AK","99701","FAIRBANKS","0.858248","7 out of 10","7 out of 9","7 out of 10","0.874224","Not Available","Not Available","Not Available","0.862053","Not Available","Not Available","Not Available","0.581118","2 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","Anchorage","AK","99508","ANCHORAGE","0.862806","10 out of 10","Not Available","10 out of 10","0.878561","Not Available","Not Available","Not Available","0.869704","Not Available","Not Available","Not Available","0.514582","6 out of 10","6 out of 9","6 out of 10","0.329","3 out of 10","7 out of 9","7 out of 10"
"020018","YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287","Bethel","AK","99559","BETHEL","Not Available","Not Available","Not Available","Not Available","0.885868","Not Available","Not Available","Not Available","0.884441","Not Available","Not Available","Not Available","0.500568","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","Soldotna","AK","99669","KENAI-COOK INLET","0.860695","Not Available","Not Available","Not Available","0.874876","Not Available","Not Available","Not Available","0.871710","0 out of 10","0 out of 9","0 out of 10","0.539351","5 out of 10","3 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","Anchorage","AK","99508","ANCHORAGE","0.862265","Not Available","Not Available","Not Available","0.875436","Not Available","Not Available","Not Available","0.879425","0 out of 10","1 out of 9","1 out of 10","0.481008","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","Phoenix","AZ","85031","MARICOPA","0.851418","Not Available","Not Available","Not Available","0.883118","Not Available","Not Available","Not Available","0.890052","Not Available","Not Available","Not Available","0.470281","8 out of 10","9 out of 9","9 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"030002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS","1111 EAST MCDOWELL ROAD","Phoenix","AZ","850062666","MARICOPA","0.856527","6 out of 10","0 out of 9","6 out of 10","0.869451","0 out of 10","0 out of 9","0 out of 10","0.865354","0 out of 10","0 out of 9","0 out of 10","0.391935","10 out of 10","9 out of 9","10 out of 10","0.640","0 out of 10","0 out of 9","0 out of 10"
"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","Tucson","AZ","85712","PIMA","0.855713","5 out of 10","0 out of 9","5 out of 10","0.862940","0 out of 10","1 out of 9","1 out of 10","0.876068","0 out of 10","0 out of 9","0 out of 10","0.771540","0 out of 10","2 out of 9","2 out of 10","0.467","0 out of 10","4 out of 9","4 out of 10"
"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","Cottonwood","AZ","863264124","YAVAPAI","0.855007","5 out of 10","7 out of 9","7 out of 10","0.861067","0 out of 10","0 out of 9","0 out of 10","0.836121","0 out of 10","0 out of 9","0 out of 10","0.377236","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"030010","CARONDELET ST  MARYS HOSPITAL","1601 WEST ST MARY'S ROAD","Tucson","AZ","85745","PIMA","0.856071","6 out of 10","8 out of 9","8 out of 10","0.890651","5 out of 10","3 out of 9","5 out of 10","0.906190","10 out of 10","9 out of 9","10 out of 10","0.522409","6 out of 10","0 out of 9","6 out of 10","0.230","5 out of 10","5 out of 9","5 out of 10"
"030011","CARONDELET ST JOSEPH'S HOSPITAL","350 NORTH WILMOT ROAD","Tucson","AZ","85711","PIMA","0.852824","4 out of 10","5 out of 9","5 out of 10","0.883700","2 out of 10","0 out of 9","2 out of 10","0.855293","0 out of 10","0 out of 9","0 out of 10","0.510390","6 out of 10","7 out of 9","7 out of 10","0.166","6 out of 10","2 out of 9","6 out of 10"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","Prescott","AZ","86301","YAVAPAI","0.849634","2 out of 10","5 out of 9","5 out of 10","0.874568","0 out of 10","1 out of 9","1 out of 10","0.886188","2 out of 10","4 out of 9","4 out of 10","0.491999","7 out of 10","8 out of 9","8 out of 10","0.552","0 out of 10","5 out of 9","5 out of 10"
"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","Yuma","AZ","853647127","YUMA","0.844158","0 out of 10","0 out of 9","0 out of 10","0.853770","0 out of 10","0 out of 9","0 out of 10","0.887362","2 out of 10","4 out of 9","4 out of 10","0.329444","10 out of 10","9 out of 9","10 out of 10","0.516","0 out of 10","0 out of 9","0 out of 10"
"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","Phoenix","AZ","850202871","MARICOPA","0.843039","Not Available","Not Available","Not Available","0.886463","3 out of 10","0 out of 9","3 out of 10","0.876605","0 out of 10","0 out of 9","0 out of 10","0.377910","10 out of 10","9 out of 9","10 out of 10","0.580","0 out of 10","4 out of 9","4 out of 10"
"030016","BANNER CASA GRANDE MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","Casa Grande","AZ","85222","PINAL","0.836959","Not Available","Not Available","Not Available","0.889991","5 out of 10","0 out of 9","5 out of 10","0.851379","0 out of 10","0 out of 9","0 out of 10","0.719463","0 out of 10","0 out of 9","0 out of 10","0.467","0 out of 10","2 out of 9","2 out of 10"
"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","Phoenix","AZ","85008","MARICOPA","0.838622","Not Available","Not Available","Not Available","0.881817","Not Available","Not Available","Not Available","0.884965","Not Available","Not Available","Not Available","0.494731","7 out of 10","8 out of 9","8 out of 10","1.519","0 out of 10","0 out of 9","0 out of 10"
"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","Flagstaff","AZ","86002","COCONINO","0.854452","5 out of 10","1 out of 9","5 out of 10","0.874202","0 out of 10","0 out of 9","0 out of 10","0.877862","0 out of 10","0 out of 9","0 out of 10","0.461085","9 out of 10","8 out of 9","9 out of 10","0.162","6 out of 10","4 out of 9","6 out of 10"
"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","Phoenix","AZ","850134496","MARICOPA","0.851688","3 out of 10","2 out of 9","3 out of 10","0.878824","0 out of 10","0 out of 9","0 out of 10","0.886865","2 out of 10","0 out of 9","2 out of 10","0.641343","0 out of 10","3 out of 9","3 out of 10","0.409","1 out of 10","4 out of 9","4 out of 10"
"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","Phoenix","AZ","85015","MARICOPA","0.861325","9 out of 10","9 out of 9","9 out of 10","0.881680","1 out of 10","0 out of 9","1 out of 10","0.885642","2 out of 10","4 out of 9","4 out of 10","0.372613","10 out of 10","9 out of 9","10 out of 10","0.878","0 out of 10","0 out of 9","0 out of 10"
"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","Payson","AZ","855415542","GILA","0.866744","Not Available","Not Available","Not Available","0.888428","Not Available","Not Available","Not Available","0.896321","6 out of 10","Not Available","6 out of 10","0.486033","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"030036","CHANDLER REGIONAL MEDICAL CENTER","1955 WEST FRYE ROAD","Chandler","AZ","85224","MARICOPA","0.851245","3 out of 10","4 out of 9","4 out of 10","0.886202","3 out of 10","0 out of 9","3 out of 10","0.885923","2 out of 10","0 out of 9","2 out of 10","0.405530","10 out of 10","9 out of 9","10 out of 10","0.208","5 out of 10","7 out of 9","7 out of 10"
"030037","ST LUKE'S MEDICAL CENTER","1800 EAST VAN BUREN STREET","Phoenix","AZ","850063702","MARICOPA","0.860407","Not Available","Not Available","Not Available","0.872782","Not Available","Not Available","Not Available","0.882697","Not Available","Not Available","Not Available","0.555047","4 out of 10","0 out of 9","4 out of 10","1.147","0 out of 10","0 out of 9","0 out of 10"
"030038","SCOTTSDALE HEALTHCARE OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","Scottsdale","AZ","85251","MARICOPA","0.858025","7 out of 10","7 out of 9","7 out of 10","0.877426","0 out of 10","0 out of 9","0 out of 10","0.887413","2 out of 10","2 out of 9","2 out of 10","0.259833","10 out of 10","9 out of 9","10 out of 10","0.602","0 out of 10","0 out of 9","0 out of 10"
"030043","SIERRA VISTA REGIONAL HEALTH CENTER","300 EL CAMINO REAL","Sierra Vista","AZ","85635","COCHISE","0.847922","1 out of 10","2 out of 9","2 out of 10","0.876545","0 out of 10","2 out of 9","2 out of 10","0.865133","0 out of 10","0 out of 9","0 out of 10","0.469701","8 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","Kingman","AZ","86409","MOHAVE","0.855628","5 out of 10","5 out of 9","5 out of 10","0.876616","0 out of 10","0 out of 9","0 out of 10","0.872055","0 out of 10","0 out of 9","0 out of 10","0.636996","0 out of 10","2 out of 9","2 out of 10","0.334","3 out of 10","0 out of 9","3 out of 10"
"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","Sun City","AZ","85351","MARICOPA","0.842247","0 out of 10","0 out of 9","0 out of 10","0.884981","2 out of 10","0 out of 9","2 out of 10","0.865623","0 out of 10","0 out of 9","0 out of 10","0.414734","10 out of 10","9 out of 9","10 out of 10","0.546","0 out of 10","0 out of 9","0 out of 10"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","Show Low","AZ","859017800","NAVAJO","0.837936","0 out of 10","Not Available","0 out of 10","0.879011","Not Available","Not Available","Not Available","0.877604","0 out of 10","0 out of 9","0 out of 10","0.344204","10 out of 10","9 out of 9","10 out of 10","0.929","0 out of 10","Not Available","0 out of 10"
"030064","BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","1501 NORTH CAMPBELL AVENUE","Tucson","AZ","857245146","PIMA","0.866532","10 out of 10","9 out of 9","10 out of 10","0.883767","2 out of 10","2 out of 9","2 out of 10","0.901172","8 out of 10","7 out of 9","8 out of 10","0.597298","2 out of 10","0 out of 9","2 out of 10","0.841","0 out of 10","1 out of 9","1 out of 10"
"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","Mesa","AZ","85202","MARICOPA","0.846539","0 out of 10","3 out of 9","3 out of 10","0.886523","3 out of 10","5 out of 9","5 out of 10","0.883715","1 out of 10","0 out of 9","1 out of 10","0.452683","9 out of 10","9 out of 9","9 out of 10","0.619","0 out of 10","0 out of 9","0 out of 10"
"030068","MT GRAHAM REGIONAL MEDICAL CENTER","1600  SOUTH 20TH AVENUE","Safford","AZ","855464097","GRAHAM","0.855655","Not Available","Not Available","Not Available","0.867814","Not Available","Not Available","Not Available","0.875902","Not Available","Not Available","Not Available","0.454399","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","Lake Havasu City","AZ","864035683","MOHAVE","0.840377","0 out of 10","2 out of 9","2 out of 10","0.870723","0 out of 10","0 out of 9","0 out of 10","0.869898","0 out of 10","0 out of 9","0 out of 10","0.390616","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","Ft. Defiance","AZ","865040649","APACHE","0.856335","Not Available","Not Available","Not Available","0.884080","Not Available","Not Available","Not Available","0.903316","9 out of 10","8 out of 9","9 out of 10","0.471365","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","Tuba City","AZ","860450600","COCONINO","Not Available","Not Available","Not Available","Not Available","0.878294","Not Available","Not Available","Not Available","0.886542","2 out of 10","5 out of 9","5 out of 10","0.450085","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","Phoenix","AZ","850165389","MARICOPA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.891542","Not Available","Not Available","Not Available","0.644183","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"030083","PARADISE VALLEY HOSPITAL","3929 EAST BELL ROAD","Phoenix","AZ","850322196","MARICOPA","0.853809","Not Available","Not Available","Not Available","0.879970","Not Available","Not Available","Not Available","0.901102","8 out of 10","9 out of 9","9 out of 10","0.495362","7 out of 10","6 out of 9","7 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"030084","CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD","Chinle","AZ","865031010","APACHE","0.855567","Not Available","Not Available","Not Available","0.882832","Not Available","Not Available","Not Available","0.879048","0 out of 10","0 out of 9","0 out of 10","0.485654","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","Tucson","AZ","85741","PIMA","0.860027","8 out of 10","9 out of 9","9 out of 10","0.880339","0 out of 10","5 out of 9","5 out of 10","0.882386","0 out of 10","1 out of 9","1 out of 10","0.571003","3 out of 10","7 out of 9","7 out of 10","0.838","0 out of 10","2 out of 9","2 out of 10"
"030087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","Scottsdale","AZ","85260","MARICOPA","0.867354","10 out of 10","9 out of 9","10 out of 10","0.878088","0 out of 10","0 out of 9","0 out of 10","0.887473","3 out of 10","0 out of 9","3 out of 10","0.468617","8 out of 10","5 out of 9","8 out of 10","0.469","0 out of 10","0 out of 9","0 out of 10"
"030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","Mesa","AZ","852061797","MARICOPA","0.854953","Not Available","Not Available","Not Available","0.888645","4 out of 10","0 out of 9","4 out of 10","0.898745","7 out of 10","3 out of 9","7 out of 10","0.443970","10 out of 10","9 out of 9","10 out of 10","0.647","0 out of 10","3 out of 9","3 out of 10"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","Glendale","AZ","853064696","MARICOPA","0.865715","10 out of 10","9 out of 9","10 out of 10","0.889709","4 out of 10","0 out of 9","4 out of 10","0.903503","9 out of 10","9 out of 9","9 out of 10","0.390667","10 out of 10","9 out of 9","10 out of 10","0.617","0 out of 10","0 out of 9","0 out of 10"
